,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,sample_name,spaceflight
23,GSM4613919,0.9949278831481934,GSE152382,Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space filght,,,"To elucidate roles that Nrf2 plays in regulating adaptive responses to the space stress, one month-long space travel and RNA-seq analysis of six Nrf2-KO mice and six wild-type mice were conducted . After 31-days-stay in the ISS, all the flight mice returned safely to Earth. We found that Nrf2 was indeed activated by the space stress in various tissues. The space stress and Nrf2-deficiency brought about changes in gene expression.","mRNA profiling using multiple tissues including temporal bone, mandibularbone, spleen, liver, white and brown adipose tissues, kidney, thymus, and brain cerebullum of wild type (WT) and Nrf2-knockout (Nrf2KO) mice",32901092;34887485,,,379386,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/10/02,192,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152382/,Nrf2 contributes to the weight gain of mice during space travel.,Communications biology,2020 Sep 8,10.1038/s42003-020-01227-2,OSD-457|GSM4613914,Ground Control
24,GSM5356152,0.9941030740737915,GSE176114,Dusp1 deletion unveils its central role in the regulation of redox homeostasis and inflammation in the mouse cochlea,,,"Stress-activated protein kinases (SAPK) have been associated with sensorineural hearing loss (SNHL) of multiple etiologies.  The activity of these kinases is tightly regulated by the dual-specificity phosphatase 1 (DUSP1), thus, DUSP1 loss of function leads to the sustained activation of SAPK. In the hearing organ, DUSP1 is an indispensable component of the stress response machinery, and its deficit accelerates SNHL progression, triggers the inflammatory response and promotes hair cell (HC) and spiral neurons (SGN) death. Here, we have studied the link between inflammation and redox imbalance in the cochlea by further characterizing the transcriptome of the Dusp1-/- mouse.  RNAseq and subsequent GSEA indicated that Dusp1-/- mice present a distinct gene expression pattern of key cellular programs, including altered expression of genes of the inflammatory response and glutathione metabolism.  To dissociate both components, Dusp1-/- mice were treated with the antioxidant N-acetylcysteine (NAC). Treatment with NAC delayed the onset of SNHL and reduced cochlear damage. Less HC were TUNEL+ and SGN showed less p-H2AX foci. NAC treatment not only improved redox balance but also reduced cytokine production and macrophage recruitment in Dusp1-/ -mice. In conclusion, our data point to DUSP1 as an essential node to control the cross-regulation of oxidative stress and inflammation.",Cochlear mRNA profiles of 5 and 8-months-old wild type (WT) and Dusp1-/- mice,34572983,,,510399,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/06/29,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176114/,Dual-Specificity Phosphatase 1 (DUSP1) Has a Central Role in Redox Homeostasis and Inflammation in the Mouse Cochlea.,"Antioxidants (Basel, Switzerland)",2021 Aug 25,10.3390/antiox10091351,OSD-457|GSM4613914,Ground Control
25,GSM5903367,0.993995189666748,GSE196870,Integrative functional transcriptomic analyses implicate shared molecular circuits in sensorineural hearing loss,,,"Aging, noise exposure, and ototoxic drugs represent the three main causes of SNHL, leading to substantial similarities in pathophysiological characteristics of cochlear degeneration.  Although the common molecular mechanisms are widely assumed to underlie these similarities, its validity lacks systematic examination.  To address this question, we generated three SNHL mouse models from aging, noise exposure, and cisplatin ototoxicity and constructed gene coexpression networks for the cochlear transcriptome data across different hearing-damaged stages.","The cochleae were harvested from controls (2-month-old mice), aging-induced SNHL (8-month-old and 12-month-old mice), noise-induced SNHL (2-month-old female mice after being exposed to noise for one hour and 2-month-old mice after being exposed to noise for 24 hours), and cisplatin-induced SNHL (2-month-old mice after being injected with cisplatin for one day and 2-month-old mice after being injected with cisplatin for three days).  An individual’s bilateral cochleae were collected as a biological replicate.  To ensure the reliability and repeatability of our data, at least three replicates were required.",40919728,,,598752,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/02/16,27,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE196nnn/GSE196870/,Comparative Cochlear Transcriptomics in Echolocating Bats and Mouse Reveals Hras as Protector Against Noise-Induced Hearing Loss.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025 Nov,10.1002/advs.202508466,OSD-457|GSM4613914,Ground Control
26,GSM6597619,0.9939161539077759,GSE213994,Long-term NAD+ supplementation prevents the progression of age-related hearing loss in mice,,,"Age-related hearing loss (ARHL) is the most common sensory disabling condition associated with aging in humans. Yet, there are still no approved measures for preventing or treating this debilitating condition. With its slow progression, continuous and safe treatment approaches are critical for ARHL treatment. Nicotinamide Riboside (NR), a NAD+ precursor, is well-tolerated even for long-term use and is already shown effective in various disease models including Alzheimer’s and Parkinson’s Disease. However, its beneficial impact on ARHL is not known. In this study, we investigated transcriptomic profile in the cochlea of the mice (mtKeima strain) that are treated with NR for 10 months vs. non-treated.",NR administration to mtKeima mice started at 2 months and treatment lasted for 10 months until mice were 12 months of age. The cochlea was dissected for further gene expression profiling at the end of the NR administration.,37395319,,,690279,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/09/20,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213994/,Long-term NAD+ supplementation prevents the progression of age-related hearing loss in mice.,Aging cell,2023 Sep,10.1111/acel.13909,OSD-457|GSM4613914,Ground Control
27,GSM6597618,0.993902325630188,GSE213994,Long-term NAD+ supplementation prevents the progression of age-related hearing loss in mice,,,"Age-related hearing loss (ARHL) is the most common sensory disabling condition associated with aging in humans. Yet, there are still no approved measures for preventing or treating this debilitating condition. With its slow progression, continuous and safe treatment approaches are critical for ARHL treatment. Nicotinamide Riboside (NR), a NAD+ precursor, is well-tolerated even for long-term use and is already shown effective in various disease models including Alzheimer’s and Parkinson’s Disease. However, its beneficial impact on ARHL is not known. In this study, we investigated transcriptomic profile in the cochlea of the mice (mtKeima strain) that are treated with NR for 10 months vs. non-treated.",NR administration to mtKeima mice started at 2 months and treatment lasted for 10 months until mice were 12 months of age. The cochlea was dissected for further gene expression profiling at the end of the NR administration.,37395319,,,690278,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/09/20,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213994/,Long-term NAD+ supplementation prevents the progression of age-related hearing loss in mice.,Aging cell,2023 Sep,10.1111/acel.13909,OSD-457|GSM4613914,Ground Control
28,GSM2356317,0.9936176538467407,GSE107087,Circadian regulation of cochlear sensitivity to noise by circulating glucocorticoids,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,31353184,,,78725,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/06/15,60,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107087/,Circadian Regulation of Cochlear Sensitivity to Noise by Circulating Glucocorticoids.,Current biology : CB,2019 Aug 5,10.1016/j.cub.2019.06.057,OSD-457|GSM4613914,Ground Control
29,GSM2356298,0.9933112263679504,GSE107087,Circadian regulation of cochlear sensitivity to noise by circulating glucocorticoids,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,31353184,,,78706,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/06/15,60,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107087/,Circadian Regulation of Cochlear Sensitivity to Noise by Circulating Glucocorticoids.,Current biology : CB,2019 Aug 5,10.1016/j.cub.2019.06.057,OSD-457|GSM4613914,Ground Control
30,GSM4613913,0.9971710443496704,GSE152382,Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space filght,,,"To elucidate roles that Nrf2 plays in regulating adaptive responses to the space stress, one month-long space travel and RNA-seq analysis of six Nrf2-KO mice and six wild-type mice were conducted . After 31-days-stay in the ISS, all the flight mice returned safely to Earth. We found that Nrf2 was indeed activated by the space stress in various tissues. The space stress and Nrf2-deficiency brought about changes in gene expression.","mRNA profiling using multiple tissues including temporal bone, mandibularbone, spleen, liver, white and brown adipose tissues, kidney, thymus, and brain cerebullum of wild type (WT) and Nrf2-knockout (Nrf2KO) mice",32901092;34887485,,,379380,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/10/02,192,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152382/,Nrf2 contributes to the weight gain of mice during space travel.,Communications biology,2020 Sep 8,10.1038/s42003-020-01227-2,OSD-457|GSM4613916,Ground Control
31,GSM4614056,0.9952442646026611,GSE152382,Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space filght,,,"To elucidate roles that Nrf2 plays in regulating adaptive responses to the space stress, one month-long space travel and RNA-seq analysis of six Nrf2-KO mice and six wild-type mice were conducted . After 31-days-stay in the ISS, all the flight mice returned safely to Earth. We found that Nrf2 was indeed activated by the space stress in various tissues. The space stress and Nrf2-deficiency brought about changes in gene expression.","mRNA profiling using multiple tissues including temporal bone, mandibularbone, spleen, liver, white and brown adipose tissues, kidney, thymus, and brain cerebullum of wild type (WT) and Nrf2-knockout (Nrf2KO) mice",32901092;34887485,,,379523,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/10/02,192,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152382/,Nrf2 contributes to the weight gain of mice during space travel.,Communications biology,2020 Sep 8,10.1038/s42003-020-01227-2,OSD-457|GSM4613916,Ground Control
32,GSM4613917,0.9948188066482544,GSE152382,Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space filght,,,"To elucidate roles that Nrf2 plays in regulating adaptive responses to the space stress, one month-long space travel and RNA-seq analysis of six Nrf2-KO mice and six wild-type mice were conducted . After 31-days-stay in the ISS, all the flight mice returned safely to Earth. We found that Nrf2 was indeed activated by the space stress in various tissues. The space stress and Nrf2-deficiency brought about changes in gene expression.","mRNA profiling using multiple tissues including temporal bone, mandibularbone, spleen, liver, white and brown adipose tissues, kidney, thymus, and brain cerebullum of wild type (WT) and Nrf2-knockout (Nrf2KO) mice",32901092;34887485,,,379384,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/10/02,192,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152382/,Nrf2 contributes to the weight gain of mice during space travel.,Communications biology,2020 Sep 8,10.1038/s42003-020-01227-2,OSD-457|GSM4613916,Ground Control
